"[84, 69, 20, 85, 94, 93, 26, 10, 23, 57, 53, 44, 92, 51, 4, 82, 56, 75, 62, 7]",4
"[34, 21, 95, 101, 24, 46, 50, 97, 68, 29, 23, 26, 5, 76, 15, 101, 0, 77, 52, 5]",2
"[33, 62, 65, 79, 38, 89, 95, 29, 42, 17, 19, 96, 74, 13, 73, 81, 70, 73, 96, 75]",9
"[52, 107, 61, 27, 63, 9, 73, 70, 72, 77, 78, 31, 40, 71, 106, 35, 5, 52, 39, 94]",8
"[59, 66, 8, 62, 39, 78, 19, 101, 20, 25, 102, 45, 50, 95, 63, 84, 77, 86, 61, 88]",3
"[56, 6, 103, 65, 47, 67, 57, 92, 52, 12, 27, 88, 66, 68, 96, 38, 91, 53, 31, 33]",5
"[33, 62, 65, 79, 38, 89, 95, 29, 42, 17, 19, 96, 74, 13, 73, 81, 70, 73, 96, 75]",9
"[52, 107, 61, 27, 63, 9, 73, 70, 72, 77, 78, 31, 40, 71, 106, 35, 5, 52, 39, 94]",7
"[33, 62, 65, 79, 38, 89, 95, 39, 42, 17, 53, 44, 92, 51, 4, 82, 32, 75, 62, 7]",9
"[84, 69, 20, 85, 94, 93, 26, 10, 23, 57, 19, 96, 89, 13, 73, 81, 70, 73, 96, 75]",8
"[52, 107, 61, 27, 63, 9, 73, 70, 42, 17, 19, 96, 74, 13, 73, 81, 70, 73, 96, 75]",8
"[33, 62, 65, 0, 38, 89, 95, 29, 72, 77, 78, 31, 40, 71, 106, 35, 5, 52, 39, 94]",9
"[33, 62, 65, 79, 38, 89, 95, 29, 32, 17, 19, 96, 74, 13, 73, 81, 70, 73, 96, 75]",9
"[33, 62, 65, 79, 38, 89, 95, 39, 42, 17, 53, 44, 92, 51, 4, 82, 32, 75, 62, 7]",10
"[33, 62, 65, 53, 38, 89, 95, 39, 42, 110, 53, 44, 81, 51, 4, 82, 32, 75, 62, 7]",10